"kpi","lokasi","Area","Realisasi","insert_at","bulan"
"FFM-ENT-Fulfillment Guarantee HSI","reg5","MADIUN",99.45,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","MADURA",96.14,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","MALANG",99.01,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","NTB",97.97,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","NTT",96.73,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","PASURUAN",99.32,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","SIDOARJO",97.76,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","SINGARAJA",97.78,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","SURABAYA SELATAN",96.93,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","SURABAYA UTARA",96.62,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg","REGIONAL 01",56.40,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg","REGIONAL 02",58.04,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg","REGIONAL 03",72.40,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg","REGIONAL 04",60.84,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg","REGIONAL 05",56.69,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg","REGIONAL 06",38.32,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg","REGIONAL 07",34.24,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg4","KUDUS",59.26,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg4","MAGELANG",63.41,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg4","PEKALONGAN",63.64,"2025-09-17",9
