kpi,lokasi,area,nilai
ASR-WHF-TTR Comply 3H Manja,TERRITORY 02,tif,98.33999633789062
ASR-WHF-TTR Comply 3H Manja,TERRITORY 03,tif,98.22000122070312
ASR-WHF-TTR Comply 3H Manja,TERRITORY 04,tif,97.01000213623047
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_BALI,tif,41.599998474121094
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_MALANG,tif,76.4000015258789
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_NUSRA,tif,62.20000076293945
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_SEMARANG,tif,70.80000305175781
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_SIDOARJO,tif,83.19999694824219
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_SOLO,tif,72.5999984741211
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_SURAMADU,tif,58.900001525878906
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,D_YOGYAKARTA,tif,70.5
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,TERRITORY 01,tif,71.4000015258789
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,TERRITORY 02,tif,65.19999694824219
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,TERRITORY 03,tif,64.30000305175781
ASR-ENT-Compliance-Time to Recover IndiBiz-4 jam,TERRITORY 04,tif,49.099998474121094
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_BALI,tif,88.0999984741211
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_MALANG,tif,98.5999984741211
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_NUSRA,tif,92.0999984741211
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_SEMARANG,tif,96.5
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_SIDOARJO,tif,99.30000305175781
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_SOLO,tif,95.9000015258789
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_SURAMADU,tif,97.0999984741211
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,D_YOGYAKARTA,tif,96.9000015258789
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,TERRITORY 01,tif,97.9000015258789
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,TERRITORY 02,tif,96
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,TERRITORY 03,tif,94.9000015258789
ASR-ENT-Compliance-Time to Recover IndiBiz-24 jam,TERRITORY 04,tif,84.69999694824219
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_BALI,tif,51.70000076293945
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_MALANG,tif,91.5
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_NUSRA,tif,68.80000305175781
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_SEMARANG,tif,89.5
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_SIDOARJO,tif,87.19999694824219
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_SOLO,tif,89
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_SURAMADU,tif,81.4000015258789
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,D_YOGYAKARTA,tif,73.5999984741211
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,TERRITORY 01,tif,87.30000305175781
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,TERRITORY 02,tif,81.80000305175781
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,TERRITORY 03,tif,78.5
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-6 jam,TERRITORY 04,tif,65.5999984741211
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_BALI,tif,94
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_MALANG,tif,100
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_NUSRA,tif,96.9000015258789
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_SEMARANG,tif,100
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_SIDOARJO,tif,100
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_SOLO,tif,97.30000305175781
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_SURAMADU,tif,99.30000305175781
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,D_YOGYAKARTA,tif,96.69999694824219
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,TERRITORY 01,tif,98.0999984741211
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,TERRITORY 02,tif,96.80000305175781
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,TERRITORY 03,tif,98
ASR-ENT-Compliance-Time to Recover IndiHome Reseller-36 jam,TERRITORY 04,tif,93.4000015258789
ASR-ENT-MTTR DWDM,D_BALI,tif,3.98
ASR-ENT-MTTR DWDM,D_MALANG,tif,-
ASR-ENT-MTTR DWDM,D_NUSRA,tif,-
ASR-ENT-MTTR DWDM,D_SEMARANG,tif,-
ASR-ENT-MTTR DWDM,D_SIDOARJO,tif,-
ASR-ENT-MTTR DWDM,D_SOLO,tif,-
ASR-ENT-MTTR DWDM,D_SURAMADU,tif,-
